Gene_name	Light_01	Heavy_01	Light_02	Heavy_02	Light_03	Heavy_03	Light_04	Heavy_04	Light_05	Heavy_05	Light_06	Light_07	Heavy_06	Mixed
aat-9	0	0	1	0	0	0	0	0	0	0	0	0	0	0
abf-2	1	1	1	3	1	3	1	2	1	3	0	1	0	4
abt-2	2	4	0	3	0	0	0	1	0	1	0	1	0	0
abt-4	2	35	0	29	0	32	0	28	0	36	0	0	6	0
ace-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
acn-1	0	1	0	0	0	0	0	0	0	0	0	0	0	2
aco-1	4	0	63	17	49	13	25	3	34	4	20	33	0	0
aco-2	5	0	17	9	14	7	4	3	8	7	3	6	2	0
act-2	2	1	8	1	6	3	0	0	2	0	0	2	1	6
act-5	8	47	15	23	15	24	3	25	4	18	18	10	14	73
ads-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
aex-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
aex-3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
alh-1	0	0	11	11	10	6	1	0	2	0	0	1	0	0
alh-2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
alh-3	0	1	22	34	33	27	7	3	6	6	2	10	2	0
alh-4	0	0	2	15	4	11	0	2	0	3	1	0	1	1
alh-5	0	0	1	0	1	0	0	0	0	0	0	0	0	0
alh-6	0	0	2	0	4	0	0	0	1	0	0	0	0	0
alh-8	1	0	25	26	25	20	8	1	11	2	6	7	2	0
alh-9	1	0	11	9	18	8	5	0	6	2	3	5	0	0
alh-10	0	0	7	10	8	5	0	0	4	0	0	1	0	0
alh-12	0	0	28	16	29	14	8	0	8	0	9	8	0	0
amt-4	0	7	0	1	0	2	0	5	0	5	0	0	1	0
anc-1	0	0	39	25	34	24	3	4	0	5	0	5	2	0
aph-2	0	1	0	1	1	0	0	0	0	0	0	0	0	0
apl-1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
app-1	1	0	16	2	13	0	7	0	7	0	1	7	0	0
aps-2	1	0	0	0	0	0	0	0	0	1	0	0	0	0
apg-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
aps-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
apb-1	5	5	16	8	19	13	0	5	0	4	0	1	1	3
apa-2	1	1	1	2	0	3	1	0	0	0	0	0	0	0
aqp-2	1	1	3	3	2	3	2	2	0	3	0	2	1	0
aqp-3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
aqp-4	0	3	0	1	0	1	0	1	0	1	0	0	1	1
aqp-6	1	0	0	0	0	0	0	0	0	0	0	0	0	0
aqp-7	0	0	1	1	1	2	1	0	0	1	0	0	0	0
aqp-8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ard-1	1	0	2	2	2	1	1	1	1	1	0	0	0	0
arf-1.2	11	5	7	4	7	4	3	4	3	5	5	7	1	2
arf-3	14	5	11	9	17	7	5	10	5	8	0	8	3	3
arf-6	3	1	2	1	2	0	0	0	0	0	0	0	0	0
arf-1.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
arl-8	4	1	2	5	3	8	1	3	0	0	0	0	0	1
aars-2	4	1	15	16	18	13	5	5	1	8	1	3	1	0
art-1	0	0	3	7	2	9	0	6	0	5	0	1	4	1
arx-1	1	6	4	2	4	1	0	0	0	2	5	0	0	0
arx-2	3	1	7	1	5	0	0	0	0	0	2	1	0	0
arx-3	0	0	3	1	1	0	0	0	0	1	0	0	0	0
arx-5	0	5	1	0	2	0	0	0	0	0	1	0	0	0
arx-6	2	2	2	1	2	2	0	1	0	2	0	1	0	0
arx-7	1	1	2	1	1	1	0	0	0	2	0	0	0	1
asb-1	0	0	0	1	0	6	0	1	0	1	0	0	0	0
asb-2	0	0	0	9	0	10	0	2	0	2	0	0	0	1
asg-1	0	0	0	2	0	4	0	0	0	1	0	0	0	0
asg-2	0	0	0	3	0	5	0	2	0	1	0	0	0	0
asp-1	91	40	117	97	122	111	68	73	93	94	59	83	39	118
asp-2	6	6	19	17	20	15	19	11	24	12	12	22	4	14
asp-3	33	22	22	29	24	28	12	13	15	13	14	11	5	11
asp-4	5	4	30	22	34	17	14	11	16	13	7	13	7	41
asp-5	3	2	17	6	21	6	7	5	12	3	9	9	3	18
asp-6	12	9	35	24	41	30	29	9	40	14	17	38	11	76
atgp-1	0	4	2	2	2	0	0	0	0	1	0	1	0	3
atn-1	0	1	7	2	11	1	0	0	0	1	4	0	0	0
atp-2	22	6	41	38	37	36	22	13	24	25	21	26	14	16
atp-3	0	0	8	9	8	12	4	8	0	5	0	5	3	0
baf-1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
bas-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pah-1	0	0	5	0	5	1	1	1	0	2	0	1	0	0
bli-3	3	15	0	12	0	3	0	15	0	15	0	1	3	0
bli-4	1	1	0	0	1	0	0	0	0	0	0	0	0	0
brd-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
bre-1	2	1	4	0	3	0	0	0	0	0	0	0	0	0
brp-1	0	0	7	1	2	1	0	0	0	0	0	2	0	3
cab-1	0	0	5	1	9	0	0	0	0	0	0	0	0	0
cah-3	0	1	1	0	1	1	0	0	0	0	0	0	0	0
cah-4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
cah-5	0	0	1	1	2	0	0	0	0	1	0	0	0	2
cap-1	5	1	3	1	3	0	0	0	1	1	0	1	0	2
cap-2	2	2	4	2	3	1	0	0	0	1	0	1	0	1
