ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Gene_name
cel00010	Glycolysis / Gluconeogenesis	17/104	34/981	3.960145463317179e-9	2.3760872779903075e-7	1.7508011522033844e-7	CELE_F13D12.2/CELE_K10B3.7/CELE_R11A5.4/CELE_Y17G7B.7/CELE_F57B10.3/CELE_R05F9.6/CELE_K10B3.8/CELE_F01F1.12/CELE_T21B10.2/CELE_W05G11.6/CELE_Y43F4B.5/CELE_K07A3.1/CELE_T05D4.1/CELE_LLC1.3/CELE_Y87G2A.8/CELE_K12G11.3/CELE_Y69F12A.2	17	ldh-1,gpd-3,pck-2,tpi-1,ipgm-1,R05F9.6,gpd-2,aldo-2,enol-1,pck-1,Y43F4B.5,fbp-1,aldo-1,dld-1,gpi-1,sodh-1,alh-12
cel01200	Carbon metabolism	21/104	76/981	1.1101087051887663e-5	3.330326115566299e-4	2.4539245062067466e-4	CELE_T01C8.5/CELE_Y24D9A.8/CELE_K10B3.7/CELE_F46E10.10/CELE_Y17G7B.7/CELE_F57B10.3/CELE_ZK455.1/CELE_K10B3.8/CELE_F01F1.12/CELE_T21B10.2/CELE_K07A3.1/CELE_C32F10.8/CELE_T05D4.1/CELE_LLC1.3/CELE_C05D11.11/CELE_Y87G2A.8/CELE_T20G5.2/CELE_F59B8.2/CELE_T05G5.6/CELE_F20H11.3/CELE_F13D12.4	21	got-1.2,tald-1,gpd-3,mdh-1,tpi-1,ipgm-1,aco-1,gpd-2,aldo-2,enol-1,fbp-1,C32F10.8,aldo-1,dld-1,mel-32,gpi-1,cts-1,idh-1,ech-6,mdh-2,alh-8
cel01100	Metabolic pathways	62/104	414/981	1.19445670813168e-4	0.00238891341626336	0.0017602519909308968	CELE_T21C12.2/CELE_T01C8.5/CELE_T22D1.4/CELE_F13D12.2/CELE_R107.7/CELE_C46F11.2/CELE_T09A5.11/CELE_VW02B12L.1/CELE_M01A10.3/CELE_Y41E3.4/CELE_C37H5.6/CELE_Y24D9A.8/CELE_K10B3.7/CELE_C56G2.6/CELE_F46E10.10/CELE_F35H10.4/CELE_F07H5.9/CELE_F37C12.7/CELE_F58B3.5/CELE_F25H2.5/CELE_R11A5.4/CELE_T16D1.2/CELE_K07E3.4/CELE_T07F10.1/CELE_Y17G7B.7/CELE_F57B10.3/CELE_T14F9.3/CELE_K04D7.3/CELE_R05F9.6/CELE_ZK455.1/CELE_Y66H1A.2/CELE_K10B3.8/CELE_C47B2.6/CELE_F01F1.12/CELE_T21B10.2/CELE_W05G11.6/CELE_Y43F4B.5/CELE_C15F1.6/CELE_C16A3.10/CELE_K07A3.1/CELE_C33C12.3/CELE_T05C3.6/CELE_C32F10.8/CELE_T05D4.1/CELE_R07H5.8/CELE_C55B7.4/CELE_LLC1.3/CELE_C05D11.11/CELE_Y87G2A.8/CELE_K12G11.3/CELE_K10C2.4/CELE_T20G5.2/CELE_T03F6.3/CELE_R07B1.4/CELE_F59B8.2/CELE_T05G5.6/CELE_F20H11.3/CELE_F13D12.4/CELE_F57B10.10/CELE_Y69F12A.2/CELE_F32D1.5/CELE_F29F11.1	62	hpd-1,got-1.2,ribo-1,ldh-1,gst-1,gsr-1,ostb-1,vha-6,ostd-1,qars-1,adss-1,tald-1,gpd-3,let-767,mdh-1,vha-5,pho-13,acs-4,mars-1,ndk-1,pck-2,pho-4,K07E3.4,anp-1,tpi-1,ipgm-1,hex-1,gta-1,R05F9.6,aco-1,dpm-1,gpd-2,gale-1,aldo-2,enol-1,pck-1,Y43F4B.5,art-1,oatr-1,fbp-1,gba-1,T05C3.6,C32F10.8,aldo-1,R07H5.8,acdh-1,dld-1,mel-32,gpi-1,sodh-1,fah-1,cts-1,T03F6.3,gst-36,idh-1,ech-6,mdh-2,alh-8,dad-1,alh-12,F32D1.5,sqv-4
cel01230	Biosynthesis of amino acids	14/104	51/981	4.3286389561253695e-4	0.0064929584341880545	0.004784285162033303	CELE_T01C8.5/CELE_Y24D9A.8/CELE_K10B3.7/CELE_Y17G7B.7/CELE_F57B10.3/CELE_ZK455.1/CELE_K10B3.8/CELE_F01F1.12/CELE_T21B10.2/CELE_C32F10.8/CELE_T05D4.1/CELE_C05D11.11/CELE_T20G5.2/CELE_F59B8.2	14	got-1.2,tald-1,gpd-3,tpi-1,ipgm-1,aco-1,gpd-2,aldo-2,enol-1,C32F10.8,aldo-1,mel-32,cts-1,idh-1
cel00030	Pentose phosphate pathway	7/104	16/981	6.315025506437671e-4	0.007578030607725205	0.005583812026744887	CELE_Y24D9A.8/CELE_R05F9.6/CELE_F01F1.12/CELE_Y43F4B.5/CELE_K07A3.1/CELE_T05D4.1/CELE_Y87G2A.8	7	tald-1,R05F9.6,aldo-2,Y43F4B.5,fbp-1,aldo-1,gpi-1
cel03060	Protein export	6/104	14/981	0.001823654392957941	0.01823654392957941	0.013437453421795354	CELE_Y37D8A.10/CELE_Y38F2AR.9/CELE_C15H9.6/CELE_Y54E10BR.5/CELE_F43E2.8/CELE_K12H4.4	6	spcs-2,Y38F2AR.9,hsp-3,sec-11,hsp-4,spcs-3
cel00020	Citrate cycle (TCA cycle)	8/104	27/981	0.004870005722064093	0.0365250429154807	0.02691318951666999	CELE_F46E10.10/CELE_R11A5.4/CELE_ZK455.1/CELE_W05G11.6/CELE_LLC1.3/CELE_T20G5.2/CELE_F59B8.2/CELE_F20H11.3	8	mdh-1,pck-2,aco-1,pck-1,dld-1,cts-1,idh-1,mdh-2
cel00620	Pyruvate metabolism	8/104	27/981	0.004870005722064093	0.0365250429154807	0.02691318951666999	CELE_F13D12.2/CELE_F46E10.10/CELE_R11A5.4/CELE_W05G11.6/CELE_LLC1.3/CELE_K12G11.3/CELE_F20H11.3/CELE_Y69F12A.2	8	ldh-1,mdh-1,pck-2,pck-1,dld-1,sodh-1,mdh-2,alh-12
cel01210	2-Oxocarboxylic acid metabolism	5/104	13/981	0.007829690890596774	0.05219793927064516	0.03846163946258064	CELE_T01C8.5/CELE_ZK455.1/CELE_C32F10.8/CELE_T20G5.2/CELE_F59B8.2	5	got-1.2,aco-1,C32F10.8,cts-1,idh-1
cel00630	Glyoxylate and dicarboxylate metabolism	6/104	19/981	0.010564807275348703	0.06338884365209221	0.04670756900680478	CELE_F46E10.10/CELE_ZK455.1/CELE_LLC1.3/CELE_C05D11.11/CELE_T20G5.2/CELE_F20H11.3	6	mdh-1,aco-1,dld-1,mel-32,cts-1,mdh-2
cel00520	Amino sugar and nucleotide sugar metabolism	7/104	25/981	0.011788216530726734	0.06429936289487309	0.04737847792253806	CELE_T14F9.3/CELE_R05F9.6/CELE_C47B2.6/CELE_Y43F4B.5/CELE_Y87G2A.8/CELE_T03F6.3/CELE_F29F11.1	7	hex-1,R05F9.6,gale-1,Y43F4B.5,gpi-1,T03F6.3,sqv-4
cel00513	Various types of N-glycan biosynthesis	5/104	15/981	0.015359492594117084	0.07679746297058543	0.056587604294115565	CELE_T22D1.4/CELE_T09A5.11/CELE_M01A10.3/CELE_T14F9.3/CELE_F57B10.10	5	ribo-1,ostb-1,ostd-1,hex-1,dad-1
cel03050	Proteasome	8/104	35/981	0.025021774913153633	0.10652769073595705	0.0784940879107052	CELE_T22D1.9/CELE_C52E4.4/CELE_C47B2.4/CELE_F56H1.4/CELE_F23F12.6/CELE_K05C4.1/CELE_Y110A7A.14/CELE_ZK945.2	8	rpn-1,rpt-1,pbs-2,rpt-5,rpt-3,pbs-5,pas-3,pas-7
