ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Gene_name
cel00190	Oxidative phosphorylation	36/202	61/981	1.0452051402604183e-11	5.644107757406258e-10	5.060993310734657e-10	CELE_F35G12.10/CELE_F02E8.1/CELE_K07A12.3/CELE_C53B7.4/CELE_C54G4.8/CELE_F42G8.12/CELE_T07C4.7/CELE_F54D8.2/CELE_ZK970.4/CELE_C06H2.1/CELE_C33A12.1/CELE_D2030.4/CELE_F31D4.9/CELE_F45H10.2/CELE_F59C6.5/COX2/CELE_VW06B3R.1/CELE_W09C5.8/CELE_W10D5.2/CELE_Y37D8A.14/CELE_C14B9.10/CELE_C34B2.7/CELE_F32D1.2/CELE_F42G8.10/CELE_F57B10.14/CELE_K04G7.4/CELE_T02H6.11/CELE_T10E9.7/CELE_T24C4.1/CELE_Y45G12B.1/CELE_Y53G8AL.2/CELE_Y54F10AM.5/CELE_Y71H2AM.5/CELE_Y82E9BR.3/CELE_VW02B12L.1/CELE_F35H10.4	36	asb-1,asb-2,asg-1,asg-2,cyc-1,isp-1,mev-1,cox-6A,vha-9,atp-5,C33A12.1,D2030.4,F31D4.9,F45H10.2,F59C6.5,ctc-2,ucr-2.1,cox-4,nduf-7,cox-5A,C14B9.10,sdha-2,hpo-18,F42G8.10,ucr-11,nuo-4,T02H6.11,nuo-2,ucr-2.3,nuo-5,Y53G8AL.2,Y54F10AM.5,cox-6B,Y82E9BR.3,vha-6,vha-5
cel03060	Protein export	10/202	14/981	5.1909672870954424e-5	0.0014015611675157694	0.0012567605010862651	CELE_F38A1.8/CELE_F55C5.8/CELE_R186.3/CELE_C34B2.10/CELE_Y37D8A.10/CELE_Y38F2AR.9/CELE_C15H9.6/CELE_Y54E10BR.5/CELE_F43E2.8/CELE_K12H4.4	10	F38A1.8,srpa-68,R186.3,spcs-1,spcs-2,Y38F2AR.9,hsp-3,sec-11,hsp-4,spcs-3
cel00564	Glycerophospholipid metabolism	11/202	19/981	3.493942778676124e-4	0.005346145781744087	0.004793814930998597	CELE_W09B12.1/CELE_C04G6.3/CELE_C08F8.4/CELE_F59F4.4/CELE_R07E3.5/CELE_T06E8.1/CELE_T25G3.4/CELE_Y46G5A.5/CELE_C33H5.18/CELE_K07B1.5/CELE_T05C3.6	11	ace-1,pld-1,mboa-4,acl-1,acl-5,acl-2,T25G3.4,pisy-1,cdgs-1,acl-14,T05C3.6
cel04141	Protein processing in endoplasmic reticulum	26/202	68/981	3.9601079864771016e-4	0.005346145781744087	0.004793814930998597	CELE_D2045.6/CELE_C55B6.2/CELE_F39B2.10/CELE_T05C3.5/CELE_T15H9.7/CELE_Y47H9C.5/CELE_C16C10.7/CELE_F45D3.5/CELE_C24F3.1/CELE_F13H10.4/CELE_T14G8.3/CELE_Y105E8A.2/CELE_F52D1.1/CELE_R151.6/CELE_ZK353.8/CELE_T22D1.4/CELE_T09A5.11/CELE_ZK632.6/CELE_M01A10.3/CELE_Y38F2AR.9/CELE_C15H9.6/CELE_F43E2.8/CELE_Y54G2A.18/CELE_Y56A3A.21/CELE_Y71F9AM.6/CELE_F57B10.10	26	cul-1,dnj-7,dnj-12,dnj-19,dnj-20,dnj-27,rnf-5,sel-1,tram-1,mogs-1,T14G8.3,Y105E8A.2,aagr-4,R151.6,ubxn-4,ribo-1,ostb-1,cnx-1,ostd-1,Y38F2AR.9,hsp-3,hsp-4,Y54G2A.18,trap-4,trap-1,dad-1
cel00510	N-Glycan biosynthesis	10/202	17/981	5.584645737560514e-4	0.006031417396565356	0.005408288503742814	CELE_C08H9.3/CELE_F13H10.4/CELE_B0361.8/CELE_F52D1.1/CELE_H43I07.3/CELE_T22D1.4/CELE_T09A5.11/CELE_M01A10.3/CELE_Y66H1A.2/CELE_F57B10.10	10	algn-8,mogs-1,algn-11,aagr-4,algn-5,ribo-1,ostb-1,ostd-1,dpm-1,dad-1
cel01040	Biosynthesis of unsaturated fatty acids	8/202	14/981	0.0027093509490308046	0.02438415854127724	0.021864937483406496	CELE_F41H10.7/CELE_W06D12.3/CELE_VZK822L.1/CELE_F10D2.9/CELE_C06B3.4/CELE_T15B7.2/CELE_C56G2.6/CELE_C15F1.6	8	elo-5,fat-5,fat-6,fat-7,stdh-1,hpo-8,let-767,art-1
cel01100	Metabolic pathways	97/202	414/981	0.03636068474918533	0.28049671092228684	0.2515175185657933	CELE_Y50D7A.7/CELE_F35G12.10/CELE_F02E8.1/CELE_K07A12.3/CELE_C53B7.4/CELE_C54G4.8/CELE_F41H10.7/CELE_W06D12.3/CELE_VZK822L.1/CELE_F10D2.9/CELE_ZK896.8/CELE_F11G11.3/CELE_K02G10.6/CELE_F42G8.12/CELE_C29E4.8/CELE_T07C4.7/CELE_F35G2.4/CELE_C04G6.3/CELE_D2023.2/CELE_Y66H1B.4/CELE_T24D1.1/CELE_Y50D4C.4/CELE_F54D8.2/CELE_ZK970.4/CELE_C06B3.4/CELE_C06H2.1/CELE_C08F8.4/CELE_C08H9.3/CELE_C17G1.3/CELE_C33A12.1/CELE_D2030.4/CELE_F13H10.4/CELE_F30A10.6/CELE_F31D4.9/CELE_F35H8.6/CELE_F45H10.2/CELE_F59C6.5/CELE_F59F4.4/CELE_K08H10.4/COX2/CELE_R07E3.5/CELE_T05G5.5/CELE_T06E8.1/CELE_VW06B3R.1/CELE_W09C5.8/CELE_W10D5.2/CELE_Y37D8A.14/CELE_Y46G5A.5/CELE_Y57A10A.23/CELE_ZK669.4/CELE_ZK909.3/CELE_B0310.5/CELE_B0361.8/CELE_C14B9.10/CELE_C18C4.3/CELE_C33H5.18/CELE_C34B2.7/CELE_C50D2.7/CELE_C50F7.4/CELE_F32D1.2/CELE_F42G8.10/CELE_F43H9.2/CELE_F52D1.1/CELE_F52H2.6/CELE_F57B10.14/CELE_H43I07.3/CELE_K04G7.4/CELE_R02D3.1/CELE_R08F11.1/CELE_T02H6.11/CELE_T10E9.7/CELE_T15B7.2/CELE_T24C4.1/CELE_W02F12.5/CELE_Y37E11AM.3/CELE_Y45G12B.1/CELE_Y53G8AL.2/CELE_Y54F10AM.5/CELE_Y71H2AM.5/CELE_Y82E9BR.3/CELE_T22D1.4/CELE_T09A5.11/CELE_VW02B12L.1/CELE_M01A10.3/CELE_Y41E3.4/CELE_C56G2.6/CELE_F35H10.4/CELE_F07H5.9/CELE_F37C12.7/CELE_F58B3.5/CELE_T16D1.2/CELE_T07F10.1/CELE_Y66H1A.2/CELE_C15F1.6/CELE_T05C3.6/CELE_R07B1.4/CELE_F57B10.10	97	ads-1,asb-1,asb-2,asg-1,asg-2,cyc-1,elo-5,fat-5,fat-6,fat-7,gcy-18,gst-6,hyl-2,isp-1,let-754,mev-1,phy-2,pld-1,pyc-1,spl-1,sqv-5,sqv-6,cox-6A,vha-9,stdh-1,atp-5,mboa-4,algn-8,ugt-23,C33A12.1,D2030.4,mogs-1,sac-1,F31D4.9,ugt-58,F45H10.2,F59C6.5,acl-1,uda-1,ctc-2,acl-5,T05G5.5,acl-2,ucr-2.1,cox-4,nduf-7,cox-5A,pisy-1,txdc-12.1,dbt-1,ZK909.3,ugt-46,algn-11,C14B9.10,ugt-48,cdgs-1,sdha-2,C50D2.7,sucg-1,hpo-18,F42G8.10,sptl-2,aagr-4,F52H2.6,ucr-11,algn-5,nuo-4,aass-1,R08F11.1,T02H6.11,nuo-2,hpo-8,ucr-2.3,dlst-1,Y37E11AM.3,nuo-5,Y53G8AL.2,Y54F10AM.5,cox-6B,Y82E9BR.3,ribo-1,ostb-1,vha-6,ostd-1,qars-1,let-767,vha-5,pho-13,acs-4,mars-1,pho-4,anp-1,dpm-1,art-1,T05C3.6,gst-36,dad-1
cel00982	Drug metabolism - cytochrome P450	8/202	21/981	0.04832452542951194	0.3261905466492056	0.2924905486523091	CELE_K08C7.2/CELE_F53F4.5/CELE_F11G11.3/CELE_C17G1.3/CELE_F35H8.6/CELE_B0310.5/CELE_C18C4.3/CELE_R07B1.4	8	fmo-1,fmo-4,gst-6,ugt-23,ugt-58,ugt-46,ugt-48,gst-36
cel00062	Fatty acid elongation	5/202	13/981	0.10820809000212207	0.6492485400127325	0.5821721801283761	CELE_F41H10.7/CELE_C06B3.4/CELE_T15B7.2/CELE_C56G2.6/CELE_C15F1.6	5	elo-5,stdh-1,hpo-8,let-767,art-1
cel00600	Sphingolipid metabolism	5/202	14/981	0.14133657486988496	0.6881686844341598	0.6170713349702018	CELE_K02G10.6/CELE_Y66H1B.4/CELE_F43H9.2/CELE_R08F11.1/CELE_Y37E11AM.3	5	hyl-2,spl-1,sptl-2,R08F11.1,Y37E11AM.3
